,Air density over the oceans - media,Air density over the oceans - dsv,Coefficient of drag with waves - media,Coefficient of drag with waves - dsv,Free convective velocity over the oceans - media,Free convective velocity over the oceans - dsv,Instantaneous surface sensible heat flux - media,Instantaneous surface sensible heat flux - dsv,Maximum individual wave height - media,Maximum individual wave height - dsv,Mean direction of total swell - media,Mean direction of total swell - dsv,Mean direction of wind waves - media,Mean direction of wind waves - dsv,Mean period of total swell - media,Mean period of total swell - dsv,Mean period of wind waves - media,Mean period of wind waves - dsv,Mean square slope of waves - media,Mean square slope of waves - dsv,Mean wave direction - media,Mean wave direction - dsv,Mean wave direction of first swell partition - media,Mean wave direction of first swell partition - dsv,Mean wave direction of second swell partition - media,Mean wave direction of second swell partition - dsv,Mean wave direction of third swell partition - media,Mean wave direction of third swell partition - dsv,Mean wave period - media,Mean wave period - dsv,Mean wave period based on first moment - media,Mean wave period based on first moment - dsv,Mean wave period based on first moment for swell - media,Mean wave period based on first moment for swell - dsv,Mean wave period based on first moment for wind waves - media,Mean wave period based on first moment for wind waves - dsv,Mean wave period based on second moment for swell - media,Mean wave period based on second moment for swell - dsv,Mean wave period based on second moment for wind waves - media,Mean wave period based on second moment for wind waves - dsv,Mean wave period of first swell partition - media,Mean wave period of first swell partition - dsv,Mean wave period of second swell partition - media,Mean wave period of second swell partition - dsv,Mean wave period of third swell partition - media,Mean wave period of third swell partition - dsv,Mean zero-crossing wave period - media,Mean zero-crossing wave period - dsv,Model bathymetry - media,Model bathymetry - dsv,Normalized energy flux into ocean - media,Normalized energy flux into ocean - dsv,Normalized energy flux into waves - media,Normalized energy flux into waves - dsv,Normalized stress into ocean - media,Normalized stress into ocean - dsv,10 metre wind direction - media,10 metre wind direction - dsv,10 metre wind speed - media,10 metre wind speed - dsv,Peak wave period - media,Peak wave period - dsv,Period corresponding to maximum individual wave height - media,Period corresponding to maximum individual wave height - dsv,Significant height of combined wind waves and swell - media,Significant height of combined wind waves and swell - dsv,Significant height of total swell - media,Significant height of total swell - dsv,Significant height of wind waves - media,Significant height of wind waves - dsv,Significant wave height of first swell partition - media,Significant wave height of first swell partition - dsv,Significant wave height of second swell partition - media,Significant wave height of second swell partition - dsv,Significant wave height of third swell partition - media,Significant wave height of third swell partition - dsv,Wave spectral directional width - media,Wave spectral directional width - dsv,Wave spectral directional width for swell - media,Wave spectral directional width for swell - dsv,Wave spectral directional width for wind waves - media,Wave spectral directional width for wind waves - dsv,Wave spectral kurtosis - media,Wave spectral kurtosis - dsv,Wave spectral peakedness - media,Wave spectral peakedness - dsv,Wave Spectral Skewness - media,Wave Spectral Skewness - dsv,Friction velocity - media,Friction velocity - dsv,Instantaneous 10 metre wind gust - media,Instantaneous 10 metre wind gust - dsv,Surface latent heat flux - media,Surface latent heat flux - dsv
1940-01-01 00:00:00,1.246275266011556,0.0016128226455307448,0.0008793291635811329,2.9953691404004805e-05,0.5634867350260416,0.06352618470519494,-10.999420166015625,10.540862989825506,2.4237648646036782,0.012560528332126423,326.9292805989583,2.0216553579393106,66.36796569824219,2.500520779091161,9.651805559794107,0.07732241900475437,2.9174795150756836,0.018738753866767363,0.0032631305512040854,0.00026855825472398795,327.6549886067708,2.533020321431457,231.4328816731771,5.2958929051035755,172.77415974934897,11.480948917338441,189.0991007486979,3.691692605368806,9.420116106669107,0.1412596802971835,7.600064277648926,0.15876359911364657,8.022183418273926,0.08502919462393597,2.3396803538004556,0.048714195427351246,6.840879122416179,0.07660501904048407,1.3072509765625,0.1373608723376832,9.997658411661783,0.021337139505356626,7.598483403523763,0.2624466170672266,6.096944491068522,0.33363447891146913,6.294043858846028,0.1522468954569118,147.33333333333334,2.0548046676563256,-3.128692626953125,0.23487901535784067,1.0574874877929688,0.25654790897983093,1.00466783841451,0.00802692881489157,131.26313273111978,3.101974635016335,4.095784505208333,0.2940924449794372,11.509140332539877,0.09862522477947751,8.036541938781738,0.1521908245206589,1.292843182881673,0.008562536098778483,1.2545582453409831,0.02140819645901377,0.198317289352417,0.042287806192226024,1.1212778091430664,0.02016864848710788,0.46067126592000324,0.005503628030276896,0.061768725514411926,0.005342508602208299,0.4054225484530131,0.006808467955991756,0.2858903805414836,0.0042816849697975825,0.6865212917327881,0.04180966119295481,0.0037497282028198242,0.0002830083769377351,5.203420639038086,0.07647592229637201,0.012709014117717743,0.0003857240277755989,,,,,,
1939-12-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17409149805704752,0.023483823405885423,6.884583791097005,0.4498404486053331,-4030449.0,1319545.6281089082
1940-02-01 00:00:00,1.2319405873616536,0.00045972333991099566,0.0008526752547671398,1.7415598229130257e-05,0.3318379720052083,0.005646897391663258,1.0928211212158203,5.253690639075484,2.8960968653361,0.07133401182333302,303.8974202473958,1.6366063546995824,49.808492024739586,5.513936582541072,11.12666098276774,0.09555526695158596,3.115424156188965,0.041100671182923626,0.002964706470568975,0.00015055239200264292,303.6866048177083,1.7504223510678945,286.8617350260417,2.147109753864224,122.4632059733073,3.2474344674927194,164.5430704752604,7.406800297476731,10.923617362976074,0.14326555194506865,8.904474894205729,0.17679111829641628,9.336359659830729,0.11550239959396623,2.4106343587239585,0.03141824150691658,7.936228434244792,0.11783713661325668,1.0931396484375,0.07481067922315689,11.626276969909668,0.05320846881814355,6.258063634236653,0.09616482663832172,7.934112548828125,0.6024022701877543,7.353220621744792,0.17581753768300132,147.33333333333334,2.0548046676563256,-3.211029052734375,0.2515263059495675,-0.15662733713785806,0.3300277149799471,0.9992664853731791,0.004880834549722899,169.86439005533853,7.544241618428073,3.8019205729166665,0.15767910463497076,13.304974555969238,0.07764209272870906,9.387734731038412,0.16856082783763351,1.5645389556884766,0.04172817300015601,1.534462292989095,0.052336388002223136,0.18506220976511636,0.02533546389856195,1.46167786916097,0.05173209489115512,0.3038344780604045,0.017026517494393215,0.05372347558538119,0.002454099506809601,0.35990901788075763,0.007239448096706866,0.2344775597254435,0.002770701806811646,0.8112089236577352,0.03015415043239412,0.0017071763674418132,5.0351435021014734e-05,5.910783131917317,0.04709703458105687,0.009216601649920145,0.00011375628653731163,,,,,,
1940-01-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16139507293701172,0.01832778973126162,6.458565394083659,0.5119406995682046,-3015253.6666666665,296022.8348999824
1940-03-01 00:00:00,1.2291065851847331,0.0005072384018124855,0.0008602142333984375,1.6010255835727804e-05,0.3869222005208333,0.041104903264800055,-6.176626841227214,3.1808663874101257,2.077795664469401,0.032148993543840376,326.0975341796875,3.09051282657911,49.18365987141927,3.892759691593235,8.366933186848959,0.05729640594300599,3.0122880935668945,0.042715889177057355,0.0028447554601977267,0.00017315660766595441,326.7855631510417,3.988020867343607,240.27327473958334,2.245694786426847,174.73556518554688,3.0733293331669103,204.158447265625,5.751086146283949,8.129954020182291,0.08862906237953833,6.603812217712402,0.09265278784559432,7.002169291178386,0.05885505338017729,2.3666721979777017,0.035094642818783266,6.097145398457845,0.053995139629324264,1.1788736979166667,0.07764057866916957,8.502822875976562,0.04721118324254124,7.321315447489421,0.32391964598616074,9.037812868754068,0.41325296082012586,5.591895421346028,0.08514036522339483,147.33333333333334,2.0548046676563256,-2.8829854329427085,0.1692321733195664,0.7766234079996744,0.1317042065474425,0.9993342161178589,0.003981096728225074,112.38150533040364,17.692063987751723,3.896728515625,0.14924282658652852,10.252061208089193,0.16614438717012417,6.994839350382487,0.09110564299459563,1.1114168167114258,0.017503651283459987,1.0693511962890625,0.01973170097076573,0.17935880025227866,0.027601990524021944,1.0101073582967122,0.019306178799486224,0.24434389670689902,0.006433847293311219,0.04582263405124346,0.0007488043336289877,0.41355552275975543,0.0057883505632996424,0.2776081959406535,0.0038589420890908985,0.7534858187039694,0.02932875629297281,0.0034103194872538247,0.00020859880222991818,4.960426012674968,0.06657308925080435,0.01276082048813502,0.0005275605489113815,,,,,,
1940-02-29 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16578473647435507,0.01814080902924405,6.687870979309082,0.44735109874306717,-4009450.0,598333.3528661092
1940-04-01 00:00:00,1.2301422754923503,0.0011786913869704819,0.0008353298374762138,1.268221790696085e-05,0.4529927571614583,0.05126513709558558,-15.709528605143229,7.170912292121674,2.1848910649617515,0.03386570660439308,317.82470703125,1.5758156576767368,17.055496215820312,1.1359242462546377,8.50143559773763,0.033008879895730446,2.9404996236165366,0.012199840547044235,0.002651412272825837,7.14852961409652e-05,317.3264973958333,1.88195685663701,285.3314615885417,2.8113447666021663,168.34872436523438,5.220507906274941,193.05997212727866,6.301003910657258,8.310516675313314,0.059177234404373925,6.8684695561726885,0.08004495404079076,7.186829884847005,0.04515230354449347,2.2952295939127603,0.02218868353945048,6.290543556213379,0.051777386113123935,1.08740234375,0.059603072366954744,8.565414110819498,0.007795527353403676,7.590227127075195,0.04906841914599429,11.498343467712402,0.08404775194697651,5.873876889546712,0.08859318748921981,147.33333333333334,2.0548046676563256,-3.026824951171875,0.21722351800131548,0.4357144037882487,0.2313412532096541,1.0049375693003337,0.004526849810363432,325.3804524739583,10.899469472746203,3.6481119791666665,0.13295160127462685,10.284769694010416,0.07612499739979761,7.22085444132487,0.07101438608220778,1.1712125142415364,0.019756376023282635,1.1445808410644531,0.02397467360063847,0.14417519172032675,0.014366430593971725,1.08544127146403,0.02252356234450563,0.2307326396306356,0.023324167013621167,0.03436558817823728,0.0011872693278374377,0.4031847318013509,0.0036845122430865474,0.2810568610827128,0.0012583542177854574,0.7641159296035767,0.018470892839431284,0.003921150928363204,0.0001387347584735703,4.725350697835286,0.02591727071738265,0.01337730884552002,0.0002487694993708801,,,,,,
1940-03-31 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15432182947794595,0.01770774973435755,6.218985557556152,0.458009893553106,-4386586.666666667,822307.6743852565
1940-05-01 00:00:00,1.2158463795979817,0.0016266939479084525,0.0008774995803833008,2.4296808269421847e-05,0.4349568684895833,0.10839680602685497,-20.22821044921875,9.619796990787428,1.7898305257161458,0.03217740918183132,323.30029296875,1.9977506068023523,27.948699951171875,0.28789884019825435,7.565227190653483,0.05409770390246195,3.1136515935262046,0.011965519968628295,0.0031226917635649443,0.00021340402944725794,324.0904947916667,2.518489031317797,256.3445332845052,2.696616783859556,140.91523234049478,2.3025222290895235,205.60635884602866,8.584344600621659,7.236125628153483,0.10778641930464457,5.750009536743164,0.09555997977500202,6.242197036743164,0.06252510838021931,2.4519173304239907,0.028164372141901463,5.407098770141602,0.06284997230353159,1.2506510416666667,0.08213390003030518,8.451417287190756,0.08591191074591017,7.382129033406575,0.28705853093476824,9.791257540384928,0.6875039688149924,4.840569496154785,0.07789775860360877,147.33333333333334,2.0548046676563256,-2.8484700520833335,0.13367991701884613,1.3252239227294922,0.1856096930994722,0.9947973688443502,0.004318831859286826,22.854766845703125,1.995855487655398,4.071207682291667,0.21961498300231658,9.293727238972982,0.09780370811569752,6.136744499206543,0.09736712571553593,0.9467660188674927,0.01723945164318054,0.8845928510030111,0.01920531967502411,0.2176768183708191,0.029389806221929625,0.7986781597137451,0.02558414365580666,0.3155716856320699,0.014357114194420616,0.03635123372077942,0.0018899146261351233,0.4312366843223572,0.007486464303046439,0.258537232875824,0.0007612081593361505,0.7605929573376974,0.023318096938142498,0.003970007101694743,0.00039796554854367176,5.045350392659505,0.03684281938295105,0.013312975565592447,0.0006019270826146771,,,,,,
1940-04-30 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15592912832895914,0.020776992531004918,6.047168413798015,0.4294302909886268,-4935743.333333333,1535665.5687775542
